article_id,cluster_id,source_id
8d238d4e-6363-450b-8ce1-68245cc148eb,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,4d8cb337-8315-41be-8bdf-59af62af3997
a868c4bb-aa93-4af3-a5a7-b14a3e605d8f,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,e8024154-eeb5-4121-85cf-ec254b6314e7
67c797b7-7440-4448-ab30-89fed4f3fb08,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,cf1cda8d-201b-4f80-bd64-5f735108e21a
c1d330ff-b7ee-44a7-835c-2d3ef59763fd,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,cad98f3b-28de-4407-957b-a9b8504a0025
3a7e6bd6-100c-4d4e-943d-98d216c90707,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,25d094ca-d7ba-40a6-bae7-3241a2ac1488
9264f4a3-0b47-406f-98b8-2cde75c3ce22,198ec9c2-906f-4e49-8dda-a47013fb83b4,a7af6a36-7fa2-459f-8c34-db1de9b04e1a
f0afcd83-2194-47a6-89ce-acc0cbf99a47,0579f9d9-f266-4842-8400-aa5e2450859f,77f8ef16-3e53-4ade-bc90-7fe78d53922a
198ec9c2-906f-4e49-8dda-a47013fb83b4,198ec9c2-906f-4e49-8dda-a47013fb83b4,41e66d54-87cd-42c6-934f-53fad2e1c123
4786e163-0f75-49db-b687-72bff8059b3b,198ec9c2-906f-4e49-8dda-a47013fb83b4,81a09668-9df5-4e3b-9864-98c5fdaaf916
d071ae10-fd35-4526-80e5-5f45d243bcec,198ec9c2-906f-4e49-8dda-a47013fb83b4,4948f7d6-1c5c-4e68-9d74-8ac2799e2817
075e9ccc-2d08-4d08-ac89-5ba77e275d92,075e9ccc-2d08-4d08-ac89-5ba77e275d92,25d094ca-d7ba-40a6-bae7-3241a2ac1488
92a4725e-7d0f-4e9e-8616-d9ee95192746,92a4725e-7d0f-4e9e-8616-d9ee95192746,cdec1659-ae99-4d8f-abff-958b7270ccf8
0dc2d466-ecb5-4e67-98a7-ad7d05a21dd0,013d5de2-115f-4623-8c3a-ef32695a5859,e87c6635-bf5e-41e7-b0ef-536d101e728d
f106a9fe-9618-47d4-a9d7-ee8677872e7e,f106a9fe-9618-47d4-a9d7-ee8677872e7e,e87c6635-bf5e-41e7-b0ef-536d101e728d
20c02842-4350-4327-a8b9-15ac6cb9010e,20c02842-4350-4327-a8b9-15ac6cb9010e,25d094ca-d7ba-40a6-bae7-3241a2ac1488
64902bff-8260-4fcf-adaa-ea3a1e506c37,00152669-24e5-4223-a2bd-b404212892dc,f93f4ff4-f610-4fbc-b933-9ec62a65210b
dd10c729-514c-40d2-96c2-50b531a7ac89,dd10c729-514c-40d2-96c2-50b531a7ac89,25d094ca-d7ba-40a6-bae7-3241a2ac1488
693a674a-53b5-44cc-9269-dac214952799,31d595a9-78e5-49b7-8c66-84cad9630ef0,e87c6635-bf5e-41e7-b0ef-536d101e728d
79b18dfb-2153-4abd-96ee-69ac5ac2fdca,79b18dfb-2153-4abd-96ee-69ac5ac2fdca,e87c6635-bf5e-41e7-b0ef-536d101e728d
81ae4646-1b28-40c8-b534-1d6e0db7dde5,81ae4646-1b28-40c8-b534-1d6e0db7dde5,e87c6635-bf5e-41e7-b0ef-536d101e728d
6011b558-17d8-4deb-8d33-51ec626629e5,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,25d094ca-d7ba-40a6-bae7-3241a2ac1488
ebf48f24-f613-4b01-89c0-1f0ff1f93d7b,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,28c0d084-a9b5-4e50-8ea6-c6e21b174e11
0cdf7bf2-3e45-475d-b3b8-8a869d6f599f,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,a0a3bb46-0336-4dbe-b93f-5b83fe9345a7
7e1ccfcc-e2f9-467e-a90c-9032756d1ef5,00e3f542-7aa3-4a4f-a100-d5f5d6392cf0,e8024154-eeb5-4121-85cf-ec254b6314e7
